[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3863746657.11536,06/07/2022,7:55 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DX1-1r,SAMPLE_MATERIAL
INFO,SSRM2022C,SAMPLE_COMMENT
INFO,31.716,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.13,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3863748928.25269,55.0808563232422,25.3343811035156,5.02997693814056E-5,7.93571214332595E-9,1,5,12.9061126708984,4.97654510332015,36.9599983096123,0.0652547243902195,0.00951853317857993,1,-5.13920487288739E-8,,,,,,,,,,,,,,,,,,,,,55.0808563232422,55.0808563232422,25.3343811035156,25.3343811035156,50.0629158424764,5.37249136727734,6.61925363540649,65,1,0,0,1,0.277557373046875,31.7693061828613,2,1,1,55.0808563232422,0,55.0808563232422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748959.17137,60.0206069946289,25.3343811035156,4.95933723245588E-5,8.22090136961507E-9,1,5,12.9061126708984,4.97646240718447,36.9700007140636,0.064333447248433,0.00940745684507549,1,-3.30779408148156E-8,,,,,,,,,,,,,,,,,,,,,60.0206069946289,60.0206069946289,25.3343811035156,25.3343811035156,50.1105951821495,5.37239376816996,6.67489337921143,65,1,0,0,1,0.2667236328125,30.7917900085449,2,1,1,60.0206069946289,0,60.0206069946289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748991.02194,65.0141220092773,25.3343811035156,4.89011204823859E-5,8.31247776262931E-9,1,5,12.9061126708984,4.97639263995202,36.9799993932247,0.0634365073457368,0.00926021280446282,1,-4.47563603452826E-8,,,,,,,,,,,,,,,,,,,,,65.0141220092773,65.0141220092773,25.3343811035156,25.3343811035156,50.1473317225534,5.37241313182284,6.72467613220215,64,1,64,0,0,0.27587890625,31.2805480957031,2,1,1,65.0141220092773,0,65.0141220092773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749022.62691,70.0540924072266,25.3343811035156,4.83145142424279E-5,6.11300563541418E-9,1,5,12.9061126708984,4.97639851063748,36.9799993932247,0.062675337187566,0.00915122004996994,1,-4.26194223266684E-8,,,,,,,,,,,,,,,,,,,,,70.0540924072266,70.0540924072266,25.3343811035156,25.3343811035156,50.1895396625918,5.37324908360696,6.79057121276855,65,1,0,0,1,0.285568237304687,30.3030319213867,2,1,1,70.0540924072266,0,70.0540924072266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749054.40988,75.1797561645508,25.3343811035156,4.77412740285842E-5,6.53250101976897E-9,1,5,12.9061126708984,4.97637855169297,36.9900017976761,0.0619328623477953,0.00903236401548748,1,-4.9999242337114E-8,,,,,,,,,,,,,,,,,,,,,75.1797561645508,75.1797561645508,25.3343811035156,25.3343811035156,50.1270093810534,5.37391311623955,6.81247901916504,63,1,64,0,0,0.276947021484375,30.7917900085449,2,1,1,75.1797561645508,0,75.1797561645508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749085.48171,80.0893936157227,25.3343811035156,4.70881277666155E-5,7.14088437390785E-9,1,5,12.9061126708984,4.97630340165049,37.0000004768372,0.0610842056840076,0.00890899819174769,1,-4.90107892364951E-8,,,,,,,,,,,,,,,,,,,,,80.0893936157227,80.0893936157227,25.3343811035156,25.3343811035156,50.1614010358995,5.37432882078383,6.84945058822632,65,1,0,0,1,0.2667236328125,31.2805480957031,2,1,1,80.0893936157227,0,80.0893936157227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749115.2704,85.0246124267578,25.3343811035156,4.64874187587468E-5,6.37577563385224E-9,1,5,12.9061126708984,4.97623724280504,37.0099991559982,0.0603044550513588,0.00879085063989907,1,-5.17238860011458E-8,,,,,,,,,,,,,,,,,,,,,85.0246124267578,85.0246124267578,25.3343811035156,25.3343811035156,50.1645275499765,5.37426227574156,6.88442134857178,65,1,0,0,1,0.26702880859375,31.2805480957031,2,1,1,85.0246124267578,0,85.0246124267578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749146.04388,90.0418319702148,25.3343811035156,4.58670614760019E-5,8.89669401764893E-9,1,5,12.9061126708984,4.97610331381401,37.0200015604496,0.0594961148335335,0.00868237758581937,1,-4.39663354214692E-8,,,,,,,,,,,,,,,,,,,,,90.0418319702148,90.0418319702148,25.3343811035156,25.3343811035156,50.1891488483322,5.37498707291798,6.90313816070557,64,1,64,0,0,0.266876220703125,30.3030319213867,2,1,1,90.0418319702148,0,90.0418319702148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749176.69352,95.0011672973633,25.3343811035156,4.4809777941354E-5,9.08429388622978E-9,1,5,12.9061126708984,4.97591638844261,37.0300002396107,0.058122548816569,0.0084753003284953,1,-4.79579706698448E-8,,,,,,,,,,,,,,,,,,,,,95.0011672973633,95.0011672973633,25.3343811035156,25.3343811035156,50.0984799401015,5.37543913120251,6.93084383010864,65,1,0,0,1,0.266952514648438,30.7917900085449,2,1,1,95.0011672973633,0,95.0011672973633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863749207.43065,100.009811401367,25.3343811035156,4.36858062358562E-5,8.91823554936367E-9,1,5,12.9061126708984,4.97578323169056,37.0399989187717,0.0566627593450065,0.00826075081864285,1,-4.80280485990553E-8,,,,,,,,,,,,,,,,,,,,,100.009811401367,100.009811401367,25.3343811035156,25.3343811035156,50.1488949795918,5.37596532057547,6.95076847076416,65,1,0,0,1,0.277481079101562,31.2805480957031,2,1,1,100.009811401367,0,100.009811401367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
